"Name","lat","long","Met Station ID","t0","t1"
Emerald,-23.53,148.16,35027,15-jun,15-aug
Dalby,-27.18,151.26,41023,1-jul,1-aug
Gatton,-27.54,152.34,40082,1-jul,1-aug
Surat,-27.16,149.07,43035,1-jul,1-aug
Warra,-26.93,150.93,41117,1-jul,1-aug
Nangwee,-27.545,151.2875,41016,1-jul,1-aug
Pampas,-27.79,151.41,41250,1-jul,1-aug
Goondiwindi,-28.55,150.31,41038,1-jul,1-aug
Breeza,-31.25,150.46,55008,1-jul,1-aug
Mungindi,-28.977,148.992,52020,1-jul,1-aug
Moree,-29.5,149.9,53027,1-jul,1-aug
Dubbo,-32.22,148.58,65070,1-jul,1-aug
